"","TEXT71","PSU","CASENO","STRATIF","LINENO","CASEID","VERSION"
"1","V1 was traveling west on a two-lane undivided roadway negotiating a curve to",2,1,"F",1,"  1F",22
"2","right on a steep downgrade.  V1 began to rotate counterclockwise.  V1 went off",2,1,"F",2,"  1F",22
"3","the left side of the roadway and struck a 31 cm diameter utility pole with its",2,1,"F",3,"  1F",22
"4","right side.  V1 came to rest facing in a southerly direction.  The weather was",2,1,"F",4,"  1F",22
"5","clear, the roadway snow/ice covered and it was daylight at the time of crash.",2,1,"F",5,"  1F",22
"6","V1 was towed due to damage.  Operator of V1 was transported due to injuries.",2,1,"F",6,"  1F",22
"7","V1 was traveling south on the roadway.  V1's left, front wheel came off.  V1",2,2,"F",1,"  2F",22
"8","went off the right side of the roadway and struck a fence with its front plane.",2,2,"F",2,"  2F",22
"9","Vehicle 1 was traveling south, negotiating a slight right curve on a downgrade.",2,3,"H",1,"  3H",22
"10","The vehicle started to rotate clockwise and went off the right side of the",2,3,"H",2,"  3H",22
"11","road.  The front of the vehicle struck a 38 cm diameter tree.  The vehicle came",2,3,"H",3,"  3H",22
"12","to rest partially off the right side of the road.",2,3,"H",4,"  3H",22
"13","Vehicle 1 was traveling north in the right lane of a five-lane undivided roadway",2,4,"E",1,"  4E",22
"14","and approaching an intersection controlled by a traffic signal.  Vehicle 2 was",2,4,"E",2,"  4E",22
"15","traveling west on a divided two-lane road approaching the same intersection.",2,4,"E",3,"  4E",22
"16","Both vehicles entered the intersection and the left side of V2 was struck by the",2,4,"E",4,"  4E",22
"17","front of V1.  V2 continued to travel west and both vehicles came to rest in the",2,4,"E",5,"  4E",22
"18","roadway.",2,4,"E",6,"  4E",22
"19","Vehicle 1 was traveling north.  The vehicle turned left at an intersection and",2,5,"F",1,"  5F",22
"20","as the vehicle entered the intersecting roadway, the vehicle slid to the right",2,5,"F",2,"  5F",22
"21","and the right front tire hit a concrete curb.  The vehicle deflected",2,5,"F",3,"  5F",22
"22","counterclockwise and continued off the right side of the road.  The front of the",2,5,"F",4,"  5F",22
"23","vehicle struck the concrete base of a breakaway light pole which was 47 cm in",2,5,"F",5,"  5F",22
"24","diameter and the vehicle came to rest off the right side of the road.",2,5,"F",6,"  5F",22
"25","V1 and V2 were traveling north on a two-lane undivided roadway.  V1 stopped in",2,6,"H",1,"  6H",22
"26","traffic lane and was struck in the rear by the front of V2.",2,6,"H",2,"  6H",22
"27","V1 and V2 were traveling north on a two-lane undivided roadway.  V2 slowed to",2,7,"D",1,"  7D",22
"28","make a right hand turn into a driveway.  V2 was struck in the rear by the front",2,7,"D",2,"  7D",22
"29","of V1.",2,7,"D",3,"  7D",22
"30","Vehicle 3 and vehicle 2 were stopped at a intersection traffic signal facing",2,8,"E",1,"  8E",22
"31","south on an undivided two-lane road with vehicle 3 ahead of V2.  V1 was",2,8,"E",2,"  8E",22
"32","traveling south on the same undivided road as V2 and V3 to the rear of V2.  The",2,8,"E",3,"  8E",22
"33","front of V1 struck the back of V2.  V2 front struck the back of V3.  All three",2,8,"E",4,"  8E",22
"34","vehicles came to rest in the roadway.",2,8,"E",5,"  8E",22
"35","V1 traveling west on a two-lane divided roadway negotiating a curve to the left.",2,9,"H",1,"  9H",22
"36","V1 went off the right side of the roadway and struck a light pole with its",2,9,"H",2,"  9H",22
"37","front. V1 continued a short distance and came to final rest in the roadway.",2,9,"H",3,"  9H",22
"38","V1 was traveling southbound on a two-lane driveway and approached the main",2,10,"E",1," 10E",22
"39","roadway.  V2 was traveling westbound on a divided roadway approaching the",2,10,"E",2," 10E",22
"40","driveway.  V1 turned left onto the main roadway and was contacted in the left",2,10,"E",3," 10E",22
"41","side by the front of V2.",2,10,"E",4," 10E",22
"42","Vehicle 1 was traveling southbound when it lost traction on the snow covered",2,11,"F",1," 11F",22
"43","roadway.  V1 departed the west side of the street. While off the roadway, the",2,11,"F",2," 11F",22
"44","front of V1 contacted an earth embankment. V1 then rolled over one quarter turn",2,11,"F",3," 11F",22
"45","and came to final rest, on its left side, in the roadway.",2,11,"F",4," 11F",22
"46","Vehicle 1 was traveling south on an undivided two-lane road negotiating a left",2,12,"H",1," 12H",22
"47","curve.  V1 went off the right side of the road.  The front of the vehicle struck",2,12,"H",2," 12H",22
"48","a ditch as the vehicle continued off the right side of the road.  The vehicle",2,12,"H",3," 12H",22
"49","crossed an unpaved driveway and the left side of the vehicle swiped a rural",2,12,"H",4," 12H",22
"50","mailbox.  The vehicle front then struck a 7 cm diameter tree.  The vehicle came",2,12,"H",5," 12H",22
"51","to rest off the right side of the road.",2,12,"H",6," 12H",22
"52","V1 was traveling south on a two-lane undivided roadway negotiating a curve to",2,13,"G",1," 13G",22
"53","the left.  V1 struck a large pothole in the roadway with its right front tire.",2,13,"G",2," 13G",22
"54","V1 traveling south on a two-lane undivided roadway negotiating a curve to the",2,14,"G",1," 14G",22
"55","left.  V1 went off the right side of the roadway and struck a snow embankment",2,14,"G",2," 14G",22
"56","with its front.",2,14,"G",3," 14G",22
"57","Vehicle 1 was traveling west on an undivided two-lane road negotiating a right",2,15,"H",1," 15H",22
"58","curve.  V1 went off the left side of the road.  The front of V1 struck a metal",2,15,"H",2," 15H",22
"59","guardrail.  The vehicle rotated clockwise and overturned left side leading.  V1",2,15,"H",3," 15H",22
"60","came to rest in the roadway on its roof.",2,15,"H",4," 15H",22
"61","V1 and V2 were traveling east on a divided two-lane road negotiating a left",2,16,"H",1," 16H",22
"62","curve and approaching an intersection controlled by a traffic signal.  V2 was in",2,16,"H",2," 16H",22
"63","front of V1.  The back of V2 was struck by the front of V1.  Both vehicles came",2,16,"H",3," 16H",22
"64","to rest in the roadway.",2,16,"H",4," 16H",22
"65","V1 was traveling south on a six-lane undivided roadway approaching an",2,17,"F",1," 17F",22
"66","intersection controlled by a traffic signal.  V2 was traveling north on the same",2,17,"F",2," 17F",22
"67","roadway in the left only turn lane.  V2 turned left and was struck on the right",2,17,"F",3," 17F",22
"68","side by the front of V1.",2,17,"F",4," 17F",22
"69","Vehicle 1 was traveling east.  V2 was traveling north.  As V2 passed through the",2,18,"G",1," 18G",22
"70","intersection, the left side of V2 was struck by the front of V1.  V2 rotated",2,18,"G",2," 18G",22
"71","counterclockwise and went off the northwest corner of the intersection. V2",2,18,"G",3," 18G",22
"72","overturned on to a snow bank and came to rest on its roof off the northwest",2,18,"G",4," 18G",22
"73","corner of the intersection.  V1 came to rest in the roadway.",2,18,"G",5," 18G",22
"74","V1 was traveling east on a two-lane undivided roadway on an upgrade.  V1 went",2,19,"H",1," 19H",22
"75","off the right side of the roadway and struck an earth embankment with its front.",2,19,"H",2," 19H",22
"76","V1 continued a short distance and struck the embankment again with its right",2,19,"H",3," 19H",22
"77","side.",2,19,"H",4," 19H",22
"78","Both V1 and V2 were traveling eastbound and negotiating a slight right curve",2,20,"H",1," 20H",22
"79","when V2 slowed for traffic.The back of V2 was struck by the front of V1.",2,20,"H",2," 20H",22
"80","V1 was traveling southbound approaching V2, which was traveling northbound on",2,21,"D",1," 21D",22
"81","the same roadway. V1 began to yaw on the icy roadway and entered the northbound",2,21,"D",2," 21D",22
"82","travel lane. The right side of V1 was contacted by the front of V2. Both",2,21,"D",3," 21D",22
"83","vehicles then side-slapped with the right side of V1 contacting the left side of",2,21,"D",4," 21D",22
"84","V2.",2,21,"D",5," 21D",22
"85","V1 was traveling south on a two-lane undivided roadway negotiating a sharp curve",2,22,"F",1," 22F",22
"86","to the left.  V1 went off the right side of the roadway and struck a 18 cm",2,22,"F",2," 22F",22
"87","diameter and 31 cm diameter tree with its right side.  V1 continued a short",2,22,"F",3," 22F",22
"88","distance and struck a 21 cm diameter tree with its front.",2,22,"F",4," 22F",22
"89","V1 was traveling west on a two-lane undivided roadway negotiating a curve to the",2,23,"H",1," 23H",22
"90","right.  V1 went off the left side of the roadway, down a small embankment and",2,23,"H",2," 23H",22
"91","struck shrubs with its front.",2,23,"H",3," 23H",22
"92","Vehicle 1 was traveling west.  Vehicle 2 was traveling east.  V1 attempted to",2,24,"K",1," 24K",22
"93","make a left turn into a driveway.  The front of V1 was struck by the front of",2,24,"K",2," 24K",22
"94","V2.  V1 rotated counterclockwise and overturned on to its left side where it",2,24,"K",3," 24K",22
"95","came to rest.  V2 came to rest in the roadway.",2,24,"K",4," 24K",22
"96","V1 was traveling northbound while negotiating a curve to the left.  V1 crossed",2,25,"D",1," 25D",22
"97","left of center, rotating in a counterclockwise direction.  V1 departed the west",2,25,"D",2," 25D",22
