"","TEXT71","PSU","CASENO","STRATIF","LINENO","CASEID","VERSION"
"1","Vehicle 1 traveling north on an undivided two-lane, two-way roadway approaching",2,1,"H",1,"  1H",20
"2","an intersection, this intersection is control by a traffic signal.  Vehicle 2",2,1,"H",2,"  1H",20
"3","traveling west on an undivided one-way, two-lane intersecting roadway controled",2,1,"H",3,"  1H",20
"4","by a traffic signal, making a left turn.  Vehicle 1 applied the brakes with",2,1,"H",4,"  1H",20
"5","lockup skidding longitudinally and steered left coming into contact with Vehicle",2,1,"H",5,"  1H",20
"6","2 on the left side with the front.      No Air Bags deployed.  Vehicle 1 was",2,1,"H",6,"  1H",20
"7","towed due to disabling damage.  Vehicle 2 was a non-tow.",2,1,"H",7,"  1H",20
"8","Prior to this crash vehicle one was traveling east on an undivided two-lane,",2,2,"F",1,"  2F",20
"9","two-way roadway while negotiating a right curve.  Vl started to rotate",2,2,"F",2,"  2F",20
"10","clockwise, in the roadway, due to wet conditions.  V1 departed the roadway, on",2,2,"F",3,"  2F",20
"11","the right side, down an embankment causing this vehicle to rollover",2,2,"F",4,"  2F",20
"12","three-quarter turns, left side leading. During the rollover V1 struck a large",2,2,"F",5,"  2F",20
"13","rock with its right side and came to final rest with its undercarriage striking",2,2,"F",6,"  2F",20
"14","a 55cm tree.  V1 was towed due to disabling damage.  The driver of vehicle was",2,2,"F",7,"  2F",20
"15","transported to a local medical facility via ambulance.",2,2,"F",8,"  2F",20
"16","V2 was traveling south on a divided three-lane road in the right lane and",2,3,"H",1,"  3H",20
"17","approaching an intersection controlled by a traffic signal.  V1 was also",2,3,"H",2,"  3H",20
"18","traveling south on the same roadway behind V2.  The back of V2 was contacted by",2,3,"H",3,"  3H",20
"19","the front of V1.  Both vehicles came to rest in the roadway.  V1 was towed due",2,3,"H",4,"  3H",20
"20","to damage.  V2 was not towed.  No occupants of either vehicle were transported.",2,3,"H",5,"  3H",20
"21","It was raining, the road was wet and it was dawn at the time of the crash.  No",2,3,"H",6,"  3H",20
"22","air bags deployed in V1.",2,3,"H",7,"  3H",20
"23","Vehicle 1 was traveling north on an undivided two-lane road negotiating a left",2,4,"F",1,"  4F",20
"24","curve. The driver applied his brakes and V1 went off the left side of the road.",2,4,"F",2,"  4F",20
"25","The vehicle climbed a steep embankment.  The left front of the vehicle swiped",2,4,"F",3,"  4F",20
"26","the embankment.  V1 continued to climb the embankment and the left front tire",2,4,"F",4,"  4F",20
"27","struck a large rock in the embankment.  V1 continued and started to descend the",2,4,"F",5,"  4F",20
"28","embankment.  The left side of the vehicle swiped the embankment a second time.",2,4,"F",6,"  4F",20
"29","The vehicle continued to descend the embankment and the front of V1 struck a 9",2,4,"F",7,"  4F",20
"30","cm wide signpost.  V1 pushed the signpost over and came back on the roadway.",2,4,"F",8,"  4F",20
"31","The signpost struck the right side of the vehicle.  V1 came to rest in the",2,4,"F",9,"  4F",20
"32","roadway facing east.  V1 was towed due to damage.  The right front seat",2,4,"F",10,"  4F",20
"33","passenger was transported due to injuries.  The weather was clear, the road was",2,4,"F",11,"  4F",20
"34","dry, it was dark and the road was not lighted at the time of the crash.  No air",2,4,"F",12,"  4F",20
"35","bags deployed.",2,4,"F",13,"  4F",20
"36","Vehicle 1 was traveling west, negotiating a right curve on an undivided",2,5,"G",1,"  5G",20
"37","two-lane, two-way roadway.  Vehicle 1, lost control due to ice on roadway,",2,5,"G",2,"  5G",20
