"","VERSION","TEXT71","PSU","CASENO","STRATIF","LINENO","CASEID"
"1",23,"V1 was traveling on a roadway.  V1 went off the left side of the roadway and",2,1,"C",1,"  1C"
"2",23,"struck a rock embankment with its front.  V1 rolled over two quarter turns to",2,1,"C",2,"  1C"
"3",23,"the right and struck a fallen log with its left side.  V1 came to rest on its",2,1,"C",3,"  1C"
"4",23,"roof.",2,1,"C",4,"  1C"
"5",23,"Vehicle 1 and vehicle 2 traveling north  on a roadway, with V1 ahead of V2.  The",2,2,"H",1,"  2H"
"6",23,"back of V1 was contacted by the front of V2 when V1 slowed down for a traffic",2,2,"H",2,"  2H"
"7",23,"signal ahead..",2,2,"H",3,"  2H"
"8",23,"V1 and V2 traveling north on a divided roadway.  The front of V1 contacted the",2,3,"F",1,"  3F"
"9",23,"back of V2.",2,3,"F",2,"  3F"
"10",23,"Vehicle 1 was traveling south.  V1 went off the right side of the road.  The",2,4,"H",1,"  4H"
"11",23,"left front tire was damaged on a curb.  V1 then contacted a sign supported by 2",2,4,"H",2,"  4H"
"12",23,"inch by 4 inch posts damaging the sign.  V1 then damaged the oil pan on another",2,4,"H",3,"  4H"
"13",23,"curb and came to rest off the road.",2,4,"H",4,"  4H"
"14",23,"V1 traveling on a roadway. V1 went off the right side of the roadway and the",2,5,"K",1,"  5K"
"15",23,"right side contacts a tree. V1 continues, stikes a small sapling with its front",2,5,"K",2,"  5K"
"16",23,"and a boulder with its undercarriage.  V1 continues and strikes a tree with its",2,5,"K",3,"  5K"
"17",23,"front.",2,5,"K",4,"  5K"
"18",23,"Vehicle 1 was traveling south.  The vehicle began to rotate counterclockwise and",2,6,"C",1,"  6C"
"19",23,"went off the left side of the road.  The right side contacted a utility pole",2,6,"C",2,"  6C"
"20",23,"and some rural mailboxes on an 8 x 10 cm post.",2,6,"C",3,"  6C"
"21",23,"V1 was traveling on a roadway.  V1 went off the right side of the roadway and",2,7,"G",1,"  7G"
"22",23,"struck a sign post with the left side. V1 continued and struck a ditch with its",2,7,"G",2,"  7G"
"23",23,"front.",2,7,"G",3,"  7G"
"24",23,"Vehicle 1 was traveling south and vehicle 2 was traveling north.  The left side",2,8,"H",1,"  8H"
"25",23,"of V1 contacted the left side of V2.",2,8,"H",2,"  8H"
"26",23,"V1 was traveling on a curve to the left two lane roadway.  V1 went off the left",2,9,"K",1,"  9K"
"27",23,"side of the roadway and struck an positive embankment with its front. V1 then",2,9,"K",2,"  9K"
"28",23,"rolled over onto its right side and caught fire.",2,9,"K",3,"  9K"
"29",23,"Vehicle 1 was traveling north and vehicle 2 was traveling south. The front of V1",2,10,"K",1," 10K"
"30",23,"contacted  the front of V2.",2,10,"K",2," 10K"
"31",23,"V1 traveling east on a roadway and had just completed a curve to the right. .",2,11,"D",1," 11D"
"32",23,"V1 went off the left side of the roadway and contacted a tree with its front.",2,11,"D",2," 11D"
"33",23,"Vehicle 1 was traveling south.  V1 went off the right side of the road.  The",2,12,"F",1," 12F"
"34",23,"front of V1 struck a 90 cm diameter tree.  The driver exited the vehicle and the",2,12,"F",2," 12F"
"35",23,"vehicle rolled backwards into the roadway.",2,12,"F",3," 12F"
"36",23,"V1 was traveling east on a roadway.  V2 was traveling north on an intersecting",2,13,"C",1," 13C"
"37",23,"roadway.  As the vehicles entered the intersection, the front of V2 contacted",2,13,"C",2," 13C"
"38",23,"the right side of V1.  The right side of V1 then contacted the left side of V2.",2,13,"C",3," 13C"
"39",23,"V1 and V2 traveling north on a state roadway.  V2 was ahead of V1, and stopped",2,14,"D",1," 14D"
"40",23,"for an intersection traffic light.  The front of V1 contacted the back of V2.",2,14,"D",2," 14D"
"41",23,"Vehicle 1 was traveling east.  V1 went off the right side of the road.  The",2,15,"F",1," 15F"
"42",23,"front of V1 struck a  4 cm diameter tree and then the front of V1 struck a 26 cm",2,15,"F",2," 15F"
"43",23,"diameter tree and came to rest off the right side of the road.",2,15,"F",3," 15F"
"44",23,"Vehicle 1 was traveling north and vehicle 2 was traveling south, both entering",2,16,"G",1," 16G"
"45",23,"an intersection..  V2 attempted a left turn, and the front of V1 contacted the",2,16,"G",2," 16G"
"46",23,"right side of V2.",2,16,"G",3," 16G"
"47",23,"V1 traveling east on a right curve roadway.  V2 traveling west on the same",2,17,"F",1," 17F"
"48",23,"roadway.  The front of V1 contacted the front of V2.  V2 was accelerated",2,17,"F",2," 17F"
"49",23,"rearward following initial impact and the rear contacted a sign post.",2,17,"F",3," 17F"
"50",23,"Vehicle 1 was traveling west.  A skunk entered the roadway.  The driver swerved",2,18,"H",1," 18H"
"51",23,"left and then right and the vehicle went off the right side of the road.  The",2,18,"H",2," 18H"
"52",23,"front of the vehicle struck an embankment.",2,18,"H",3," 18H"
"53",23,"Vehicle 1 was traveling north.  V1 went off the right side of the road.  The",2,19,"H",1," 19H"
"54",23,"front of the vehicle contacted a guardrail face.  The vehicle rotated clockwise",2,19,"H",2," 19H"
"55",23,"and the front of the vehicle stayed in contact with the guardrail face.  The",2,19,"H",3," 19H"
"56",23,"vehicle continued to rotate and the left side of the vehicle swiped the",2,19,"H",4," 19H"
"57",23,"guardrail face again.",2,19,"H",5," 19H"
"58",23,"Vehicle 1 was traveling south and V2 was traveling north on the same roadway.",2,20,"J",1," 20J"
